cusip,Symbol
16411R208,LNG
92552V100,VSAT
90130A101,FOXA
19625W104,CLNS
87165B103,SYF
G0177J108,AGN
74736K101,QRVO
24703L103,DVMT
69318G106,PBF
G8807B106,TBPH
03674X106,AR
747525103,QCOM
90130A200,FOX
45781M101,INVA
492515101,KERX
923454102,VRTV
58155Q103,MCK
34986J105,FWP
046513107,ATRA
14149Y108,CAH
30219G108,ESRX
82812A202,SRUNU
53071M856,LVNTA
16965P103,IMOS
225310101,CACC
531229888,BATRK
87160A100,SYT
66987E206,NG
G4182A110,GTYHU
03073E105,ABC
15136A102,CDEV
699374302,PRTK
212894109,CPAA
14740B606,CASC
026874156,AIG_t
78516C106,SCAC
86771W105,RUN
686164302,OREX
89621C105,TMQ
053774105,CAR
82812A103,SRUN
84860W102,SRC
88338TAB0,THRX
212894117,CPAA